topic,candidate,score,tp
EP-1222910-A2,EP-1022012,0.7265618,0
EP-1222910-A2,EP-0813856,0.7114519,0
EP-1222910-A2,EP-0486775,0.7099729,0
EP-1222910-A2,WO-2000078271,0.70824707,0
EP-1222910-A2,EP-1307171,0.7080859,0
EP-1222910-A2,EP-0634393,0.7050629,0
EP-1222910-A2,EP-0394798,0.7029524,0
EP-1222910-A2,EP-0576112,0.7017998,0
EP-1222910-A2,WO-2002013768,0.70138717,0
EP-1222910-A2,WO-2000066069,0.6996357,0
EP-1222910-A2,EP-0685454,0.6987468,0
EP-1222910-A2,EP-1413283,0.69222796,0
EP-1222910-A2,WO-2002013767,0.6921445,0
EP-1222910-A2,EP-1307172,0.68886375,0
EP-1222910-A2,EP-1194110,0.68734294,0
EP-1222910-A2,EP-0904767,0.6870735,0
EP-1222910-A2,EP-0796607,0.6839512,0
EP-1222910-A2,EP-0041676,0.6832815,0
EP-1222910-A2,EP-0995421,0.6818891,0
EP-1222910-A2,EP-0394797,0.6795918,0
EP-1222910-A2,EP-0305954,0.67900825,0
EP-1222910-A2,EP-0374824,0.6789824,0
EP-1222910-A2,EP-1173137,0.6783061,0
EP-1222910-A2,EP-0664999,0.67819464,0
EP-1222910-A2,EP-0499923,0.6760047,0
EP-1222910-A2,EP-1138309,0.67538196,0
EP-1222910-A2,EP-0546648,0.6751297,0
EP-1222910-A2,EP-0523545,0.67478853,0
EP-1222910-A2,WO-2001043700,0.6718906,0
EP-1222910-A2,EP-0717976,0.67094105,0
EP-1222910-A2,EP-0321841,0.6708951,0
EP-1222910-A2,WO-2001044338,0.669893,0
EP-1222910-A2,EP-0381961,0.66947603,0
EP-1222910-A2,EP-0413290,0.66933095,0
EP-1222910-A2,EP-0164607,0.66888267,0
EP-1222910-A2,EP-1296634,0.667614,0
EP-1222910-A2,WO-1982004259,0.66534185,0
EP-1222910-A2,EP-0104491,0.6649608,0
EP-1222910-A2,EP-0254263,0.6645898,0
EP-1222910-A2,WO-2002051357,0.66357535,0
EP-1222910-A2,EP-0792881,0.663516,0
EP-1222910-A2,EP-0804919,0.66351116,0
EP-1222910-A2,EP-0951896,0.66349715,0
EP-1222910-A2,EP-0643752,0.6634606,0
EP-1222910-A2,EP-1242493,0.66289186,0
EP-1222910-A2,EP-0261520,0.66238856,0
EP-1222910-A2,EP-0878183,0.6623577,0
EP-1222910-A2,EP-0264551,0.6622362,0
EP-1222910-A2,EP-0366977,0.66169715,0
EP-1222910-A2,EP-0904766,0.66158205,0
EP-1222910-A2,EP-0443370,0.66141856,0
EP-1222910-A2,EP-0393617,0.66101384,0
EP-1222910-A2,EP-1343453,0.6598285,0
EP-1222910-A2,EP-1169996,0.65936804,0
EP-1222910-A2,EP-0754675,0.658983,0
EP-1222910-A2,EP-0382033,0.6589764,0
EP-1222910-A2,EP-0948955,0.657933,0
EP-1222910-A2,EP-0017151,0.6579001,0
EP-1222910-A2,EP-0934926,0.65778756,0
EP-1222910-A2,EP-0792882,0.6566514,0
EP-1222910-A2,EP-0166009,0.656008,0
EP-1222910-A2,WO-2001095862,0.654449,0
EP-1222910-A2,WO-1998022521,0.6533958,0
EP-1222910-A2,EP-1246859,0.653361,0
EP-1222910-A2,EP-0049559,0.653321,0
