topic,candidate,n
EP-1222910-A2,EP-0172513,1
EP-1222910-A2,EP-0290133,1
EP-1222910-A2,EP-0321872,1
EP-1222910-A2,EP-0443269,1
EP-1222910-A2,EP-0516711,1
EP-1222910-A2,EP-0516751,1
EP-1222910-A2,EP-0566221,1
EP-1222910-A2,EP-0588878,1
EP-1222910-A2,EP-0588950,1
EP-1222910-A2,EP-0609902,1
EP-1222910-A2,EP-0683799,1
EP-1222910-A2,EP-0896043,1
EP-1222910-A2,EP-0973482,1
EP-1222910-A2,WO-1992021632,1
EP-1222910-A2,WO-1993012759,2
EP-1222910-A2,WO-1994018253,1
EP-1222910-A2,WO-1998046198,1
EP-1224915-A1,EP-0577219,1
EP-1224915-A1,EP-0608623,1
EP-1224915-A1,EP-0707829,1
EP-1224915-A1,EP-0955930,2
EP-1224915-A1,EP-1023873,2
EP-1224915-A1,WO-1998029046,2
EP-1229507-A2,WO-1998019259,2
EP-1229507-A2,WO-2002007021,2
EP-1233422-A1,EP-0753859,1
EP-1233422-A1,EP-0753869,1
EP-1233422-A1,EP-0987715,1
EP-1233422-A1,EP-1119004,1
EP-1233422-A1,WO-1990012400,2
EP-1236518-A2,EP-0275015,2
EP-1236518-A2,EP-0530752,1
EP-1236518-A2,WO-1992011094,1
EP-1236903-A2,EP-0368122,2
EP-1236903-A2,EP-0493315,1
EP-1236903-A2,EP-0569455,2
EP-1236903-A2,WO-1992014060,2
EP-1238953-A1,EP-0486336,1
EP-1238953-A1,EP-0685437,1
EP-1238953-A1,EP-0709352,2
EP-1238953-A1,EP-0746532,1
EP-1238953-A1,EP-0850898,2
EP-1238953-A1,EP-0931033,1
EP-1238953-A1,WO-1994018141,1
EP-1238953-A1,WO-1995023122,1
EP-1238953-A1,WO-1998014411,1
EP-1239541-A1,EP-0689261,2
EP-1239541-A1,EP-0803927,1
EP-1239541-A1,EP-1037308,1
EP-1240907-A1,EP-0841849,2
EP-1240907-A1,EP-0854736,1
EP-1240907-A1,EP-0943344,1
EP-1240907-A1,EP-1196203,1
EP-1240907-A1,EP-1250040,2
EP-1240907-A1,WO-1997005907,1
EP-1240907-A1,WO-1997013539,1
EP-1240907-A1,WO-1997038576,2
EP-1240907-A1,WO-2001005442,1
EP-1240907-A1,WO-2001050849,2
EP-1240936-A1,EP-0308532,2
EP-1240936-A1,EP-0405613,1
EP-1240936-A1,EP-0893657,1
EP-1240936-A1,EP-1081445,1
EP-1240936-A1,EP-1089803,2
EP-1240936-A1,WO-1999061135,2
EP-1241136-A2,EP-0754650,2
EP-1241136-A2,EP-0755899,1
EP-1241136-A2,EP-0901986,1
EP-1241136-A2,EP-0966207,2
EP-1241136-A2,WO-1999007237,2
EP-1248067-A1,EP-0569342,2
EP-1248067-A1,EP-0941446,1
EP-1248067-A1,WO-1998025096,1
EP-1249609-A1,EP-0977933,2
EP-1249609-A1,EP-1274941,2
EP-1249609-A1,WO-1998048148,2
EP-1249609-A1,WO-2001079700,2
EP-1249947-A1,EP-0785637,2
EP-1249947-A1,WO-1996035265,2
EP-1253171-A1,EP-0301719,2
EP-1253171-A1,EP-0367835,2
EP-1253171-A1,EP-0507207,2
EP-1253171-A1,EP-0519616,2
EP-1253171-A1,EP-0520257,2
EP-1253171-A1,EP-0663800,2
EP-1253171-A1,EP-0918818,2
EP-1253171-A1,WO-1994007379,2
EP-1253171-A1,WO-1998006779,2
EP-1253416-A2,EP-0246345,2
EP-1253416-A2,EP-0373653,2
EP-1253416-A2,EP-0634638,2
EP-1253416-A2,EP-1039282,2
EP-1253472-A2,EP-0908785,2
EP-1253472-A2,EP-1115035,2
EP-1253472-A2,EP-1156371,2
EP-1253472-A2,WO-1998054621,2
EP-1260688-A2,EP-0482781,1
EP-1260688-A2,EP-0779452,2
EP-1260688-A2,EP-0838607,1
EP-1260955-A2,EP-0311232,1
EP-1260955-A2,EP-0476332,1
EP-1260955-A2,EP-1099739,2
EP-1262633-A1,EP-0287371,2
EP-1262633-A1,EP-0291407,2
EP-1262633-A1,EP-1320662,2
EP-1262633-A1,WO-2002025065,2
EP-1262883-A2,EP-0699940,1
EP-1262883-A2,EP-0990996,2
EP-1262883-A2,EP-1004967,1
EP-1262883-A2,EP-1168304,1
EP-1265206-A2,EP-0372840,1
EP-1265206-A2,EP-0785519,1
EP-1265206-A2,EP-0803705,1
EP-1265206-A2,EP-0805951,1
EP-1265206-A2,EP-0917697,1
EP-1265206-A2,EP-0953954,1
EP-1265206-A2,EP-0959443,1
EP-1265206-A2,EP-0967460,2
EP-1265206-A2,EP-0988508,1
EP-1265206-A2,EP-1301757,1
EP-1265206-A2,WO-1996011380,1
EP-1265206-A2,WO-1998008206,1
EP-1265206-A2,WO-1998057125,1
EP-1265206-A2,WO-1999027681,1
EP-1265206-A2,WO-2001081870,1
EP-1267320-A2,EP-0548051,2
EP-1267320-A2,EP-0704834,2
EP-1267320-A2,EP-0895218,1
EP-1270837-A2,EP-0947637,2
EP-1270837-A2,WO-2000073599,1
EP-1271202-A1,EP-0153243,1
EP-1271202-A1,EP-0926853,1
EP-1271202-A1,EP-1102096,2
EP-1271202-A1,EP-1113302,1
EP-1271202-A1,EP-1206159,1
EP-1271202-A1,EP-1215168,1
EP-1271689-A1,EP-0420739,1
EP-1271689-A1,EP-0497652,1
EP-1271689-A1,EP-0817309,2
EP-1271689-A1,EP-1170823,2
EP-1273261-A1,EP-0897690,2
EP-1273261-A1,EP-0901417,1
EP-1273261-A1,EP-1079732,1
EP-1273261-A1,WO-1997033513,1
EP-1273261-A1,WO-1997045277,1
EP-1273261-A1,WO-1999026530,2
EP-1273261-A1,WO-1999056614,1
EP-1273261-A1,WO-1999059467,1
EP-1273362-A1,EP-0908416,1
EP-1273362-A1,EP-0934489,2
EP-1273362-A1,EP-1021958,1
EP-1273362-A1,EP-1124917,1
EP-1273362-A1,WO-1998017950,2
EP-1273362-A1,WO-2000022069,1
EP-1275482-A1,EP-0589788,2
EP-1275482-A1,EP-0965422,1
EP-1275482-A1,EP-1074365,1
